date,AAPL
2021-04-01,46
2021-04-02,24
2021-04-03,7
2021-04-04,7
2021-04-05,47
2021-04-06,51
2021-04-07,44
2021-04-08,56
2021-04-09,57
2021-04-10,15
2021-04-11,8
2021-04-12,45
2021-04-13,54
2021-04-14,55
2021-04-15,47
2021-04-16,43
2021-04-17,12
2021-04-18,9
2021-04-19,44
2021-04-20,56
2021-04-21,46
2021-04-22,41
2021-04-23,43
2021-04-24,11
2021-04-25,7
2021-04-26,45
2021-04-27,52
2021-04-28,95
2021-04-29,100
2021-04-30,54
2021-05-01,12
2021-05-02,9
2021-05-03,46
2021-05-04,54
2021-05-05,47
2021-05-06,43
2021-05-07,42
2021-05-08,10
2021-05-09,7
2021-05-10,41
2021-05-11,47
2021-05-12,46
2021-05-13,48
2021-05-14,40
2021-05-15,11
2021-05-16,7
2021-05-17,36
2021-05-18,39
2021-05-19,37
2021-05-20,38
2021-05-21,39
2021-05-22,7
2021-05-23,7
2021-05-24,34
2021-05-25,35
2021-05-26,35
2021-05-27,35
2021-05-28,33
2021-05-29,7
2021-05-30,7
2021-05-31,9
2021-06-01,32
2021-06-02,35
2021-06-03,32
2021-06-04,37
2021-06-05,8
2021-06-06,5
2021-06-07,34
2021-06-08,36
2021-06-09,32
2021-06-10,35
2021-06-11,33
2021-06-12,8
2021-06-13,6
2021-06-14,37
2021-06-15,37
2021-06-16,33
2021-06-17,39
2021-06-18,36
2021-06-19,8
2021-06-20,5
2021-06-21,33
2021-06-22,36
2021-06-23,37
2021-06-24,39
2021-06-25,33
2021-06-26,8
2021-06-27,5
2021-06-28,34
2021-06-29,37
2021-06-30,37
2021-07-01,36
