date,AMZN
2019-01-01,15
2019-01-02,42
2019-01-03,53
2019-01-04,50
2019-01-05,14
2019-01-06,8
2019-01-07,45
2019-01-08,45
2019-01-09,49
2019-01-10,44
2019-01-11,39
2019-01-12,11
2019-01-13,8
2019-01-14,32
2019-01-15,37
2019-01-16,41
2019-01-17,37
2019-01-18,36
2019-01-19,10
2019-01-20,6
2019-01-21,16
2019-01-22,35
2019-01-23,32
2019-01-24,32
2019-01-25,31
2019-01-26,10
2019-01-27,7
2019-01-28,33
2019-01-29,35
2019-01-30,44
2019-01-31,100
2019-02-01,97
2019-02-02,19
2019-02-03,10
2019-02-04,42
2019-02-05,39
2019-02-06,36
2019-02-07,36
2019-02-08,41
2019-02-09,11
2019-02-10,8
2019-02-11,32
2019-02-12,36
2019-02-13,34
2019-02-14,38
2019-02-15,36
2019-02-16,13
2019-02-17,11
2019-02-18,17
2019-02-19,37
2019-02-20,37
2019-02-21,36
2019-02-22,37
2019-02-23,20
2019-02-24,18
2019-02-25,39
2019-02-26,33
2019-02-27,34
2019-02-28,38
2019-03-01,42
2019-03-02,27
2019-03-03,21
2019-03-04,42
2019-03-05,46
2019-03-06,37
2019-03-07,39
2019-03-08,43
2019-03-09,23
2019-03-10,22
2019-03-11,40
2019-03-12,41
2019-03-13,38
2019-03-14,42
2019-03-15,42
2019-03-16,28
2019-03-17,22
2019-03-18,42
2019-03-19,52
2019-03-20,52
2019-03-21,52
2019-03-22,48
2019-03-23,27
2019-03-24,19
2019-03-25,44
2019-03-26,40
2019-03-27,43
2019-03-28,41
2019-03-29,38
2019-03-30,25
2019-03-31,24
2019-04-01,38
