date,GOOG
2019-04-01,58
2019-04-02,55
2019-04-03,57
2019-04-04,53
2019-04-05,57
2019-04-06,38
2019-04-07,39
2019-04-08,56
2019-04-09,55
2019-04-10,55
2019-04-11,52
2019-04-12,52
2019-04-13,34
2019-04-14,41
2019-04-15,55
2019-04-16,52
2019-04-17,54
2019-04-18,54
2019-04-19,48
2019-04-20,38
2019-04-21,37
2019-04-22,52
2019-04-23,54
2019-04-24,53
2019-04-25,58
2019-04-26,56
2019-04-27,39
2019-04-28,39
2019-04-29,77
2019-04-30,100
2019-05-01,73
2019-05-02,65
2019-05-03,55
2019-05-04,37
2019-05-05,37
2019-05-06,62
2019-05-07,55
2019-05-08,54
2019-05-09,58
2019-05-10,57
2019-05-11,39
2019-05-12,39
2019-05-13,66
2019-05-14,62
2019-05-15,65
2019-05-16,58
2019-05-17,55
2019-05-18,40
2019-05-19,39
2019-05-20,59
2019-05-21,56
2019-05-22,57
2019-05-23,57
2019-05-24,58
2019-05-25,44
2019-05-26,42
2019-05-27,51
2019-05-28,57
2019-05-29,61
2019-05-30,56
2019-05-31,57
2019-06-01,50
2019-06-02,46
2019-06-03,83
2019-06-04,71
2019-06-05,67
2019-06-06,63
2019-06-07,58
2019-06-08,42
2019-06-09,38
2019-06-10,53
2019-06-11,53
2019-06-12,55
2019-06-13,54
2019-06-14,51
2019-06-15,39
2019-06-16,41
2019-06-17,60
2019-06-18,56
2019-06-19,58
2019-06-20,56
2019-06-21,52
2019-06-22,39
2019-06-23,39
2019-06-24,56
2019-06-25,58
2019-06-26,54
2019-06-27,52
2019-06-28,53
2019-06-29,37
2019-06-30,38
2019-07-01,55
