date,META
2020-07-01,79
2020-07-02,87
2020-07-03,74
2020-07-04,69
2020-07-05,67
2020-07-06,69
2020-07-07,73
2020-07-08,79
2020-07-09,90
2020-07-10,71
2020-07-11,66
2020-07-12,68
2020-07-13,72
2020-07-14,73
2020-07-15,75
2020-07-16,82
2020-07-17,73
2020-07-18,68
2020-07-19,64
2020-07-20,68
2020-07-21,72
2020-07-22,74
2020-07-23,88
2020-07-24,80
2020-07-25,62
2020-07-26,66
2020-07-27,74
2020-07-28,76
2020-07-29,75
2020-07-30,88
2020-07-31,79
2020-08-01,63
2020-08-02,63
2020-08-03,73
2020-08-04,71
2020-08-05,78
2020-08-06,90
2020-08-07,70
2020-08-08,71
2020-08-09,64
2020-08-10,78
2020-08-11,75
2020-08-12,78
2020-08-13,89
2020-08-14,69
2020-08-15,59
2020-08-16,65
2020-08-17,71
2020-08-18,75
2020-08-19,76
2020-08-20,91
2020-08-21,76
2020-08-22,71
2020-08-23,67
2020-08-24,75
2020-08-25,74
2020-08-26,76
2020-08-27,96
2020-08-28,81
2020-08-29,71
2020-08-30,68
2020-08-31,75
2020-09-01,76
2020-09-02,74
2020-09-03,88
2020-09-04,70
2020-09-05,71
2020-09-06,62
2020-09-07,72
2020-09-08,76
2020-09-09,76
2020-09-10,91
2020-09-11,77
2020-09-12,68
2020-09-13,64
2020-09-14,74
2020-09-15,73
2020-09-16,79
2020-09-17,97
2020-09-18,79
2020-09-19,68
2020-09-20,71
2020-09-21,75
2020-09-22,79
2020-09-23,79
2020-09-24,95
2020-09-25,78
2020-09-26,67
2020-09-27,57
2020-09-28,77
2020-09-29,82
2020-09-30,82
2020-10-01,100
