date,MSFT
2015-01-01,7
2015-01-02,13
2015-01-03,7
2015-01-04,4
2015-01-05,18
2015-01-06,24
2015-01-07,21
2015-01-08,20
2015-01-09,17
2015-01-10,10
2015-01-11,6
2015-01-12,14
2015-01-13,19
2015-01-14,20
2015-01-15,19
2015-01-16,19
2015-01-17,10
2015-01-18,5
2015-01-19,11
2015-01-20,24
2015-01-21,36
2015-01-22,35
2015-01-23,33
2015-01-24,12
2015-01-25,9
2015-01-26,52
2015-01-27,100
2015-01-28,65
2015-01-29,40
2015-01-30,42
2015-01-31,18
2015-02-01,11
2015-02-02,28
2015-02-03,34
2015-02-04,34
2015-02-05,35
2015-02-06,23
2015-02-07,11
2015-02-08,9
2015-02-09,27
2015-02-10,29
2015-02-11,24
2015-02-12,33
2015-02-13,26
2015-02-14,13
2015-02-15,11
2015-02-16,18
2015-02-17,28
2015-02-18,23
2015-02-19,28
2015-02-20,26
2015-02-21,11
2015-02-22,7
2015-02-23,26
2015-02-24,22
2015-02-25,24
2015-02-26,21
2015-02-27,23
2015-02-28,8
2015-03-01,9
2015-03-02,21
2015-03-03,24
2015-03-04,21
2015-03-05,24
2015-03-06,20
2015-03-07,11
2015-03-08,3
2015-03-09,22
2015-03-10,26
2015-03-11,22
2015-03-12,25
2015-03-13,24
2015-03-14,11
2015-03-15,9
2015-03-16,20
2015-03-17,27
2015-03-18,25
2015-03-19,28
2015-03-20,20
2015-03-21,8
2015-03-22,9
2015-03-23,28
2015-03-24,20
2015-03-25,20
2015-03-26,23
2015-03-27,23
2015-03-28,10
2015-03-29,8
2015-03-30,21
2015-03-31,24
2015-04-01,20
